date,NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 NowCast Mass Concentration [ug/m3],humidity,latitude,longitude,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pressure,temperature
,,21.12,51.08,103.25,79.95,121.0,43.51,70.31,4.691607,-74.083759,,,,,,,45.75,,,,14.63
,,27.99,21.96,46.56,35.11,66.0,19.44,70.63,4.691607,-74.083759,,,,,,,21.68,,,,17.12
,,25.61,24.45,54.52,39.88,78.0,24.98,73.07,4.691607,-74.083759,,,,,,,24.24,,,,17.08
,,32.63,18.4,39.46,30.83,75.0,23.29,75.3,4.691607,-74.083759,,,,,,,19.39,,,,15.98
,,26.4,20.55,50.09,35.55,69.0,20.52,74.68,4.691607,-74.083759,,,,,,,21.92,,,,15.39
,,25.09,13.74,27.39,21.01,55.0,14.16,70.58,4.691607,-74.083759,,,,,,,14.12,,,,14.35
,,19.55,33.87,79.5,56.71,87.0,29.05,73.1,4.691607,-74.083759,,,,,,,33.28,,,,14.84
,,33.45,31.34,71.77,51.71,85.0,28.03,70.88,4.691607,-74.083759,,,,,,,30.59,,,,16.35
,,28.9,34.5,75.97,55.11,91.0,31.11,73.47,4.691607,-74.083759,,,,,,,32.42,,,,15.77
,,31.57,31.58,70.5,50.72,101.0,35.48,73.15,4.691607,-74.083759,,,,,,,30.06,,,,16.22
,,28.18,17.08,31.98,25.28,74.0,23.06,77.14,4.691607,-74.083759,,,,,,,16.41,,,,14.64
,,28.45,30.28,67.06,49.27,95.0,33.01,80.14,4.691607,-74.083759,,,,,,,29.28,,,,14.24
,,24.13,20.93,40.81,31.91,64.0,18.26,72.82,4.691607,-74.083759,,,,,,,19.97,,,,15.57
,,24.36,21.57,45.63,35.33,80.0,25.68,71.63,4.691607,-74.083759,,,,,,,21.8,,,,16.79
,,29.95,13.59,29.18,22.27,61.0,16.87,73.79,4.691607,-74.083759,,,,,,,14.79,,,,16.24
,,34.63,13.52,27.65,21.37,62.0,17.45,76.45,4.691607,-74.083759,,,,,,,14.31,,,,15.53
,,33.77,27.09,59.63,43.99,85.0,28.41,76.34,4.691607,-74.083759,,,,,,,26.45,,,,15.64
,,31.39,25.37,54.92,41.33,79.0,25.63,76.17,4.691607,-74.083759,,,,,,,25.02,,,,16.96
,,4.12,2.14,4.87,3.4,31.0,7.34,51.95,4.691607,-74.083759,,,,,,,4.66,,,,16.32
,,31.51,25.34,47.62,37.43,67.0,19.89,75.46,4.691607,-74.083759,,,,,,,22.93,,,,15.23
,,28.24,27.03,61.97,43.78,81.0,26.2,79.68,4.691607,-74.083759,,,,,,,26.34,,,,14.42
,,29.36,26.2,57.37,41.99,87.0,29.36,78.68,4.691607,-74.083759,,,,,,,25.38,,,,15.31
,,27.63,21.06,45.34,34.54,85.0,28.22,77.02,4.691607,-74.083759,,,,,,,21.38,,,,14.82
,,27.62,14.66,27.75,22.81,65.0,18.52,67.56,4.691607,-74.083759,,,,,,,15.08,,,,15.84
,,24.09,23.39,48.76,37.19,71.0,21.81,69.62,4.691607,-74.083759,,,,,,,22.8,,,,15.87
,,28.66,13.06,25.23,20.0,52.0,12.56,69.13,4.691607,-74.083759,,,,,,,13.57,,,,14.57
,,30.29,21.31,43.68,31.92,61.0,16.79,62.79,4.691607,-74.083759,,,,,,,19.97,,,,14.47
,,20.61,16.67,32.61,25.42,64.0,18.13,61.96,4.691607,-74.083759,,,,,,,16.48,,,,15.6
,,36.5,24.45,51.21,38.28,74.0,23.19,72.6,4.691607,-74.083759,,,,,,,23.38,,,,15.32
,,36.32,19.75,49.34,30.97,63.0,17.85,66.8,4.691607,-74.083759,,,,,,,19.46,,,,14.78
,,36.02,22.58,49.82,35.23,67.0,19.79,63.41,4.691607,-74.083759,,,,,,,21.75,,,,12.78
,,11.77,29.85,68.84,46.64,83.0,27.22,53.93,4.691607,-74.083759,,,,,,,27.87,,,,13.75
,,17.58,30.23,68.07,49.19,83.0,27.54,67.28,4.691607,-74.083759,,,,,,,29.24,,,,16.42
,,29.5,21.79,47.81,35.35,72.0,22.03,68.13,4.691607,-74.083759,,,,,,,21.81,,,,15.62
,,21.51,12.45,25.45,19.53,58.0,15.48,67.46,4.691607,-74.083759,,,,,,,13.32,,,,15.89
,,26.04,19.62,41.02,30.95,78.0,24.72,68.63,4.691607,-74.083759,,,,,,,19.45,,,,15.99
,,23.97,21.19,44.82,33.72,67.0,19.55,73.0,4.691607,-74.083759,,,,,,,20.94,,,,15.16
,,31.68,26.41,58.87,41.97,74.0,23.12,80.61,4.691607,-74.083759,,,,,,,25.37,,,,13.56
,,32.94,22.7,50.2,36.12,66.0,19.12,76.29,4.691607,-74.083759,,,,,,,22.23,,,,14.36
,,32.23,26.73,60.04,43.02,79.0,25.24,72.48,4.691607,-74.083759,,,,,,,25.93,,,,13.0
,,32.4,29.5,63.99,46.81,80.0,25.9,71.25,4.691607,-74.083759,,,,,,,27.96,,,,13.81
,,21.67,33.99,83.94,57.37,94.0,32.56,78.99,4.691607,-74.083759,,,,,,,33.63,,,,13.74
,,25.17,21.04,45.9,32.42,74.0,22.82,71.79,4.691607,-74.083759,,,,,,,20.24,,,,13.23
,,24.03,12.82,25.15,18.68,59.0,15.74,63.79,4.691607,-74.083759,,,,,,,12.87,,,,15.7
,,29.43,16.22,35.33,24.83,64.0,18.27,60.27,4.691607,-74.083759,,,,,,,16.17,,,,14.36
,,39.24,31.17,66.76,48.14,85.0,28.35,72.64,4.691607,-74.083759,,,,,,,28.68,,,,13.99
,,32.48,28.84,61.84,46.56,83.0,27.33,71.64,4.691607,-74.083759,,,,,,,27.83,,,,16.41
,,14.86,27.58,62.11,45.52,77.0,24.28,75.33,4.691607,-74.083759,,,,,,,27.27,,,,14.52
,,30.51,24.04,52.08,38.0,73.0,22.53,71.81,4.691607,-74.083759,,,,,,,23.24,,,,15.92
,,17.12,29.47,70.68,49.78,83.0,27.41,68.85,4.691607,-74.083759,,,,,,,29.56,,,,16.55
,,19.02,27.4,65.53,46.82,86.0,28.56,72.14,4.691607,-74.083759,,,,,,,27.97,,,,16.84
,,31.66,20.14,44.71,33.13,78.0,24.84,71.37,4.691607,-74.083759,,,,,,,20.62,,,,15.7
,,28.21,22.43,48.46,34.83,63.0,18.01,65.78,4.691607,-74.083759,,,,,,,21.53,,,,14.61
,,30.22,15.18,31.26,23.75,60.0,16.21,66.02,4.691607,-74.083759,,,,,,,15.59,,,,14.43
,,20.6,18.09,42.07,30.36,59.0,15.99,62.91,4.691607,-74.083759,,,,,,,19.14,,,,15.13
,,-18.34,40.76,85.44,65.3,99.0,35.12,66.25,4.691607,-74.083759,,,,,,,37.89,,,,14.29
,,37.53,38.68,91.08,65.17,95.0,33.0,69.62,4.691607,-74.083759,,,,,,,37.82,,,,15.4
,,35.93,30.03,64.37,46.23,81.0,26.31,64.1,4.691607,-74.083759,,,,,,,27.65,,,,14.58
,,21.48,39.31,88.87,62.32,99.0,35.13,63.25,4.691607,-74.083759,,,,,,,36.29,,,,14.41
,,22.75,35.25,83.2,60.28,98.0,34.68,73.67,4.691607,-74.083759,,,,,,,35.19,,,,16.15
,,27.07,24.06,58.31,41.54,82.0,26.71,74.74,4.691607,-74.083759,,,,,,,25.13,,,,15.33
,,33.03,18.95,41.02,30.41,64.0,18.36,74.42,4.691607,-74.083759,,,,,,,19.16,,,,15.48
,,27.18,32.78,72.3,52.51,93.0,32.07,73.41,4.691607,-74.083759,,,,,,,31.02,,,,15.11
,,28.11,44.19,95.34,69.92,111.0,39.74,80.3,4.687633756,-74.16129282,,,,,,,40.37,,,,12.28
,,27.23,18.64,42.04,28.5,68.0,19.95,75.3,4.687633756,-74.16129282,,,,,,,18.13,,,,13.78
,,38.57,29.89,65.4,46.67,81.0,26.35,78.73,4.687633756,-74.16129282,,,,,,,27.89,,,,13.76
,,34.83,30.18,68.07,48.56,81.0,26.49,74.45,4.687633756,-74.16129282,,,,,,,28.91,,,,15.54
,,31.16,31.18,70.13,49.69,86.0,28.58,72.57,4.687633756,-74.16129282,,,,,,,29.51,,,,16.48
,,36.89,28.43,63.69,45.72,84.0,27.64,78.45,4.687633756,-74.16129282,,,,,,,27.38,,,,14.53
,,28.89,34.77,76.34,56.83,91.0,31.16,76.44,4.687633756,-74.16129282,,,,,,,33.34,,,,15.05
,,22.97,25.04,60.86,42.79,81.0,26.54,74.36,4.687633756,-74.16129282,,,,,,,25.8,,,,15.46
,,26.52,30.57,69.18,49.39,90.0,30.86,68.2,4.687633756,-74.16129282,,,,,,,29.35,,,,15.58
,,37.74,33.13,73.69,52.9,92.0,31.46,71.44,4.687633756,-74.16129282,,,,,,,31.23,,,,15.69
,,34.39,37.77,86.46,62.83,101.0,35.57,77.31,4.687633756,-74.16129282,,,,,,,36.56,,,,14.91
,,30.66,20.89,48.86,35.02,70.0,20.9,73.84,4.687633756,-74.16129282,,,,,,,21.64,,,,14.22
,,21.15,17.09,36.33,27.84,64.0,18.19,75.73,4.687633756,-74.16129282,,,,,,,17.78,,,,15.06
,,34.75,33.18,77.82,53.95,89.0,30.17,74.53,4.687633756,-74.16129282,,,,,,,31.8,,,,13.85
,,29.25,34.97,76.56,54.54,99.0,34.88,73.27,4.687633756,-74.16129282,,,,,,,32.11,,,,14.76
,,29.77,39.31,84.32,64.12,102.0,35.94,71.23,4.687633756,-74.16129282,,,,,,,37.25,,,,16.28
,,34.91,27.97,64.06,45.15,80.0,25.93,79.92,4.687633756,-74.16129282,,,,,,,27.07,,,,14.79
,,44.95,29.83,66.92,48.15,90.0,30.7,81.94,4.687633756,-74.16129282,,,,,,,28.68,,,,14.27
,,31.0,27.59,67.7,46.55,85.0,28.31,82.61,4.687633756,-74.16129282,,,,,,,27.82,,,,14.45
,,24.49,17.64,43.71,30.83,67.0,19.75,86.61,4.687633756,-74.16129282,,,,,,,19.39,,,,14.0
,,25.15,16.6,33.73,25.29,65.0,18.78,85.38,4.687633756,-74.16129282,,,,,,,16.41,,,,13.0
,,26.73,17.22,32.5,24.55,62.0,17.24,77.44,4.687633756,-74.16129282,,,,,,,16.02,,,,14.68
,,19.68,15.54,35.53,24.2,69.0,20.76,76.28,4.687633756,-74.16129282,,,,,,,15.83,,,,14.56
,,27.16,31.2,67.53,48.18,80.0,26.08,78.99,4.687633756,-74.16129282,,,,,,,28.7,,,,13.55
,,28.81,21.76,49.63,35.19,74.0,23.09,79.09,4.687633756,-74.16129282,,,,,,,21.73,,,,14.56
,,35.6,18.02,36.88,27.82,68.0,20.02,77.46,4.687633756,-74.16129282,,,,,,,17.77,,,,14.75
,,32.23,6.42,14.38,9.95,35.0,8.37,84.51,4.687633756,-74.16129282,,,,,,,8.18,,,,13.31
,,22.97,19.6,38.95,29.15,58.0,15.45,76.48,4.687633756,-74.16129282,,,,,,,18.49,,,,14.23
,,25.27,46.38,100.37,74.16,113.0,40.47,75.67,4.687633756,-74.16129282,,,,,,,42.64,,,,13.36
,,26.66,35.37,74.41,54.44,101.0,35.44,70.54,4.687633756,-74.16129282,,,,,,,32.06,,,,14.83
,,42.81,37.54,87.85,61.31,102.0,35.85,74.87,4.687633756,-74.16129282,,,,,,,35.75,,,,13.65
,,30.53,27.78,65.41,45.55,80.0,26.09,71.95,4.687633756,-74.16129282,,,,,,,27.29,,,,15.18
,,32.73,20.7,50.24,35.43,76.0,23.93,84.29,4.687633756,-74.16129282,,,,,,,21.86,,,,12.66
,,27.48,19.73,39.82,31.18,65.0,18.7,79.61,4.687633756,-74.16129282,,,,,,,19.57,,,,14.04
,,31.09,31.89,68.22,49.34,83.0,27.37,82.24,4.687633756,-74.16129282,,,,,,,29.32,,,,12.97
,,27.87,32.38,71.23,50.83,91.0,31.35,81.28,4.687633756,-74.16129282,,,,,,,30.12,,,,14.28
,,35.28,35.23,77.18,55.8,92.0,31.71,82.0,4.687633756,-74.16129282,,,,,,,32.79,,,,14.21
,,31.43,35.17,77.62,55.99,83.0,27.37,81.13,4.687633756,-74.16129282,,,,,,,32.89,,,,14.03
,,29.61,26.14,58.23,41.49,90.0,30.64,71.15,4.687633756,-74.16129282,,,,,,,25.11,,,,14.29
,,28.76,30.78,70.26,49.43,90.0,30.84,77.74,4.687633756,-74.16129282,,,,,,,29.37,,,,14.73
,,24.96,31.67,78.16,53.57,88.0,29.69,82.27,4.687633756,-74.16129282,,,,,,,31.59,,,,14.34
,,24.96,21.63,50.4,34.96,73.0,22.55,77.87,4.687633756,-74.16129282,,,,,,,21.6,,,,15.14
,,33.96,30.63,71.59,49.73,83.0,27.36,74.42,4.687633756,-74.16129282,,,,,,,29.53,,,,15.62
,,33.2,33.57,74.13,53.86,97.0,33.88,76.73,4.687633756,-74.16129282,,,,,,,31.75,,,,16.07
,,29.1,30.36,66.69,47.9,82.0,27.05,71.52,4.687633756,-74.16129282,,,,,,,28.55,,,,15.18
,,29.46,35.72,78.55,56.42,91.0,31.1,72.76,4.687633756,-74.16129282,,,,,,,33.12,,,,15.91
,,22.63,27.64,63.46,45.41,85.0,28.06,78.75,4.687633756,-74.16129282,,,,,,,27.21,,,,15.95
,,22.37,23.35,45.8,34.3,60.0,16.51,65.43,4.687633756,-74.16129282,,,,,,,21.25,,,,14.93
,,28.13,27.71,61.84,43.32,81.0,26.14,70.7,4.687633756,-74.16129282,,,,,,,26.09,,,,14.68
,,28.01,19.69,46.42,31.48,72.0,22.17,71.72,4.687633756,-74.16129282,,,,,,,19.73,,,,16.13
,,37.96,21.08,45.04,33.56,73.0,22.6,82.46,4.687633756,-74.16129282,,,,,,,20.85,,,,14.44
,,33.55,31.61,68.39,49.18,88.0,29.62,73.54,4.687633756,-74.16129282,,,,,,,29.24,,,,13.95
,,29.54,30.05,63.75,46.32,86.0,28.51,72.03,4.687633756,-74.16129282,,,,,,,27.7,,,,14.93
,,31.05,34.65,76.99,55.75,94.0,32.54,69.53,4.687633756,-74.16129282,,,,,,,32.76,,,,14.52
,,34.95,29.77,62.6,45.69,79.0,25.43,76.16,4.687633756,-74.16129282,,,,,,,27.36,,,,14.83
,,46.01,24.43,52.23,39.35,70.0,21.37,81.23,4.687633756,-74.16129282,,,,,,,23.96,,,,13.89
,,29.35,30.68,63.04,47.42,90.0,30.6,81.61,4.687633756,-74.16129282,,,,,,,28.29,,,,14.79
,,24.34,12.32,24.3,17.18,47.0,11.38,68.15,4.687633756,-74.16129282,,,,,,,12.06,,,,16.13
,,29.34,9.53,24.45,14.6,56.0,14.62,80.35,4.687633756,-74.16129282,,,,,,,10.68,,,,15.01
,,29.08,20.49,44.62,31.15,71.0,21.74,78.01,4.687633756,-74.16129282,,,,,,,19.56,,,,14.16
,,27.86,26.78,61.8,43.27,76.0,23.96,70.49,4.687633756,-74.16129282,,,,,,,26.06,,,,14.63
,,34.41,32.37,71.38,51.71,88.0,29.59,77.16,4.687633756,-74.16129282,,,,,,,30.59,,,,14.84
,,27.64,13.29,27.17,20.39,63.0,17.96,67.89,4.687633756,-74.16129282,,,,,,,13.78,,,,16.3
,,27.72,23.3,47.98,35.0,75.0,23.53,60.99,4.687633756,-74.16129282,,,,,,,21.63,,,,15.34
,,34.15,32.77,73.29,51.09,87.0,29.13,66.49,4.687633756,-74.16129282,,,,,,,30.26,,,,13.35
,,32.85,28.59,62.49,44.66,79.0,25.58,73.17,4.687633756,-74.16129282,,,,,,,26.81,,,,13.59
,,30.83,20.56,41.2,31.23,68.0,20.32,68.6,4.687633756,-74.16129282,,,,,,,19.6,,,,15.34
,,33.21,5.21,11.88,7.84,39.0,9.31,79.11,4.687633756,-74.16129282,,,,,,,7.05,,,,14.03
,,29.98,15.75,31.38,23.89,60.0,16.31,78.07,4.687633756,-74.16129282,,,,,,,15.66,,,,15.22
,,35.09,17.1,31.93,24.64,59.0,15.76,88.31,4.687633756,-74.16129282,,,,,,,16.06,,,,13.15
,,26.37,15.36,34.72,24.61,59.0,15.67,88.15,4.687633756,-74.16129282,,,,,,,16.05,,,,13.24
,,27.08,15.49,30.53,22.12,58.0,15.54,85.02,4.687633756,-74.16129282,,,,,,,14.71,,,,13.43
,,21.85,10.06,22.29,15.58,56.0,14.29,80.78,4.687633756,-74.16129282,,,,,,,11.2,,,,14.86
,,27.78,20.15,44.9,31.32,65.0,18.64,83.62,4.687633756,-74.16129282,,,,,,,19.65,,,,13.56
,,24.14,28.02,68.91,47.66,92.0,31.76,82.98,4.687633756,-74.16129282,,,,,,,28.42,,,,14.28
,,31.95,20.28,44.6,33.67,70.0,21.21,86.17,4.687633756,-74.16129282,,,,,,,20.91,,,,13.25
,,34.57,34.19,84.74,57.26,97.0,33.87,84.36,4.687633756,-74.16129282,,,,,,,33.57,,,,12.98
,,26.68,19.16,44.33,29.18,62.0,17.43,78.16,4.687633756,-74.16129282,,,,,,,18.5,,,,14.58
,,30.14,31.76,71.47,50.35,86.0,28.53,86.41,4.687633756,-74.16129282,,,,,,,29.86,,,,14.14
,,29.64,35.63,86.33,58.19,102.0,35.84,87.95,4.687633756,-74.16129282,,,,,,,34.07,,,,13.37
,,25.32,19.08,35.98,26.85,64.0,18.45,79.81,4.687633756,-74.16129282,,,,,,,17.25,,,,13.8
,,23.7,10.33,22.83,15.81,52.0,12.63,71.69,4.687633756,-74.16129282,,,,,,,11.32,,,,14.1
,,30.55,16.26,38.38,25.4,62.0,17.49,74.2,4.687633756,-74.16129282,,,,,,,16.47,,,,13.42
,,27.11,15.9,35.03,24.02,63.0,17.89,68.11,4.687633756,-74.16129282,,,,,,,15.73,,,,15.17
,,28.74,22.31,50.44,34.51,72.0,22.32,69.84,4.687633756,-74.16129282,,,,,,,21.36,,,,14.99
,,30.27,30.17,66.91,46.33,75.0,23.63,80.25,4.687633756,-74.16129282,,,,,,,27.71,,,,13.71
,,26.39,11.34,27.62,17.75,53.0,13.12,73.57,4.687633756,-74.16129282,,,,,,,12.37,,,,15.42
,,26.26,21.92,45.66,34.55,77.0,24.26,84.86,4.687633756,-74.16129282,,,,,,,21.39,,,,14.01
,,24.66,20.7,43.97,32.74,73.0,22.48,79.85,4.687633756,-74.16129282,,,,,,,20.41,,,,14.35
,,27.87,23.76,51.77,37.11,71.0,21.4,85.42,4.687633756,-74.16129282,,,,,,,22.76,,,,14.6
,,26.46,22.04,46.58,34.08,75.0,23.5,82.93,4.687633756,-74.16129282,,,,,,,21.13,,,,14.63
,,30.16,10.51,20.47,15.18,38.0,9.01,83.98,4.687633756,-74.16129282,,,,,,,10.99,,,,13.95
,,21.94,12.1,28.94,18.14,58.0,15.39,79.69,4.687633756,-74.16129282,,,,,,,12.58,,,,15.1
,,26.28,17.8,33.0,24.98,57.0,15.16,80.84,4.687633756,-74.16129282,,,,,,,16.25,,,,14.83
,,20.04,7.64,17.06,11.1,56.0,14.27,77.5,4.687633756,-74.16129282,,,,,,,8.8,,,,14.2
,,23.35,6.18,15.71,9.92,41.0,9.86,72.58,4.687633756,-74.16129282,,,,,,,8.17,,,,14.79
,,27.21,10.83,20.62,15.22,53.0,12.92,77.3,4.687633756,-74.16129282,,,,,,,11.01,,,,15.57
,,24.04,17.63,39.81,27.49,63.0,18.0,77.21,4.687633756,-74.16129282,,,,,,,17.59,,,,14.75
,,29.86,18.19,35.2,26.8,61.0,16.98,87.67,4.687633756,-74.16129282,,,,,,,17.23,,,,12.86
,,21.49,7.29,13.68,9.67,42.0,10.04,80.98,4.687633756,-74.16129282,,,,,,,8.03,,,,13.0
,,23.26,15.65,32.06,23.09,66.0,19.25,84.54,4.687633756,-74.16129282,,,,,,,15.23,,,,13.7
,,28.68,7.26,22.37,13.14,53.0,12.95,73.82,4.687633756,-74.16129282,,,,,,,9.89,,,,14.68
,,21.12,6.05,18.08,10.43,45.0,10.9,72.46,4.687633756,-74.16129282,,,,,,,8.44,,,,14.88
,,26.59,33.87,76.59,53.64,87.0,29.05,84.88,4.687633756,-74.16129282,,,,,,,31.63,,,,13.11
,,25.24,5.78,12.9,8.91,51.0,12.22,81.01,4.687633756,-74.16129282,,,,,,,7.62,,,,14.41
,,17.58,6.1,17.05,9.1,48.0,11.63,71.58,4.687633756,-74.16129282,,,,,,,7.72,,,,14.9
,,19.7,2.67,8.49,5.12,51.0,12.06,82.74,4.687633756,-74.16129282,,,,,,,5.58,,,,12.7
,,24.51,14.45,30.48,20.75,56.0,14.24,74.49,4.687633756,-74.16129282,,,,,,,13.98,,,,13.65
,,22.84,4.81,11.75,7.07,33.0,7.9,69.63,4.687633756,-74.16129282,,,,,,,6.63,,,,14.59
,,22.94,12.34,28.6,19.37,47.0,11.33,78.72,4.687633756,-74.16129282,,,,,,,13.23,,,,13.72
,,24.78,11.44,28.8,18.32,43.0,10.36,74.23,4.687633756,-74.16129282,,,,,,,12.67,,,,13.52
,,27.45,8.85,17.51,12.83,47.0,11.21,83.11,4.687633756,-74.16129282,,,,,,,9.72,,,,12.84
,,26.42,15.64,35.71,24.18,82.0,26.93,74.24,4.687633756,-74.16129282,,,,,,,,,,,13.46
,,20.8,13.89,28.24,20.93,93.0,31.96,75.78,4.687633756,-74.16129282,,,,,,,,,,,14.67
,,33.48,20.62,37.59,29.85,73.0,22.73,87.88,4.687633756,-74.16129282,,,,,,,18.86,,,,13.06
,,26.01,7.94,17.74,12.17,54.0,13.59,87.73,4.687633756,-74.16129282,,,,,,,9.37,,,,12.08
,,29.47,12.61,29.77,21.55,58.0,15.55,84.48,4.687633756,-74.16129282,,,,,,,14.41,,,,13.83
,,23.35,8.99,19.62,13.83,54.0,13.47,81.81,4.687633756,-74.16129282,,,,,,,10.26,,,,14.44
,,24.79,21.35,46.22,32.35,58.0,15.59,78.46,4.687633756,-74.16129282,,,,,,,20.2,,,,13.79
,,27.21,17.91,37.81,28.7,66.0,19.19,83.13,4.687633756,-74.16129282,,,,,,,18.24,,,,13.87
,,26.73,24.95,48.1,35.44,85.0,28.03,85.77,4.687633756,-74.16129282,,,,,,,21.86,,,,11.81
,,39.58,26.05,51.53,38.13,75.0,23.64,83.45,4.687633756,-74.16129282,,,,,,,23.3,,,,13.5
,,26.4,4.23,9.78,6.38,38.0,9.01,79.28,4.687633756,-74.16129282,,,,,,,6.27,,,,13.83
,,21.31,9.16,19.25,14.04,51.0,12.23,79.76,4.687633756,-74.16129282,,,,,,,10.38,,,,13.68
,,20.17,19.29,46.51,31.58,68.0,20.17,82.23,4.687633756,-74.16129282,,,,,,,19.79,,,,12.73
,,23.94,22.64,53.0,35.08,69.0,20.87,80.47,4.687633756,-74.16129282,,,,,,,21.67,,,,13.28
,,,,,,,,,4.687633756,-74.16129282,,,,,,,,,,,
,,25.16,17.49,38.84,27.02,70.0,21.22,78.59,4.687633756,-74.16129282,,,,,,,17.34,,,,14.37
,,26.37,32.03,73.97,50.85,94.0,32.4,83.23,4.687633756,-74.16129282,,,,,,,30.13,,,,13.24
,,23.68,16.16,36.02,24.14,57.0,14.87,80.4,4.687633756,-74.16129282,,,,,,,15.8,,,,12.68
,,22.39,5.81,14.23,9.64,39.0,9.41,87.52,4.687633756,-74.16129282,,,,,,,8.01,,,,12.09
,,25.56,25.8,72.49,47.51,90.0,30.58,89.08,4.687633756,-74.16129282,,,,,,,28.34,,,,12.74
,,25.71,17.31,41.83,27.01,68.0,20.07,83.94,4.687633756,-74.16129282,,,,,,,17.33,,,,13.0
,,29.44,22.21,52.02,34.44,68.0,20.29,81.0,4.687633756,-74.16129282,,,,,,,21.32,,,,12.3
,,25.17,8.71,19.93,13.34,53.0,12.82,76.36,4.687633756,-74.16129282,,,,,,,10.0,,,,12.96
,,25.82,14.29,28.65,21.64,68.0,20.22,84.93,4.687633756,-74.16129282,,,,,,,14.45,,,,12.98
,,26.08,8.99,17.63,12.08,39.0,9.41,77.85,4.687633756,-74.16129282,,,,,,,9.32,,,,13.44
,,17.38,17.45,39.89,29.51,61.0,16.69,87.02,4.687633756,-74.16129282,,,,,,,18.68,,,,11.89
,,20.63,8.32,19.27,12.44,52.0,12.51,80.44,4.687633756,-74.16129282,,,,,,,9.51,,,,13.28
,,32.74,31.01,63.43,48.0,82.0,27.03,87.03,4.687633756,-74.16129282,,,,,,,28.6,,,,13.0
,,27.72,36.71,81.93,57.37,92.0,31.57,86.49,4.687633756,-74.16129282,,,,,,,33.63,,,,12.88
,,23.39,19.58,43.61,28.61,71.0,21.83,80.49,4.687633756,-74.16129282,,,,,,,18.2,,,,13.54
,,26.29,22.21,45.04,34.46,68.0,20.22,85.28,4.687633756,-74.16129282,,,,,,,21.34,,,,13.64
,,23.38,8.72,21.63,13.3,42.0,10.02,76.96,4.687633756,-74.16129282,,,,,,,9.98,,,,14.62
,,21.39,4.53,12.03,6.59,33.0,7.99,79.18,4.687633756,-74.16129282,,,,,,,6.38,,,,13.6
,,31.2,10.74,20.74,15.69,44.0,10.45,82.49,4.687633756,-74.16129282,,,,,,,11.26,,,,12.92
,,24.51,14.69,33.95,21.08,60.0,16.27,72.99,4.687633756,-74.16129282,,,,,,,14.15,,,,14.49
,,34.52,25.83,59.21,39.66,75.0,23.6,74.66,4.687633756,-74.16129282,,,,,,,24.12,,,,12.34
,,26.14,23.34,52.89,36.34,77.0,24.51,74.09,4.687633756,-74.16129282,,,,,,,22.34,,,,14.02
,,25.89,10.96,25.87,17.06,53.0,13.06,77.68,4.687633756,-74.16129282,,,,,,,12.0,,,,12.97
,,23.57,13.39,29.87,20.23,56.0,14.45,71.05,4.687633756,-74.16129282,,,,,,,13.7,,,,14.97
,,28.58,11.73,25.56,18.04,53.0,13.28,76.1,4.687633756,-74.16129282,,,,,,,12.52,,,,14.91
,,26.67,6.76,18.03,10.83,60.0,16.29,77.73,4.687633756,-74.16129282,,,,,,,8.65,,,,13.47
,,32.46,13.74,30.08,21.06,67.0,19.76,78.71,4.687633756,-74.16129282,,,,,,,14.14,,,,14.2
,,29.41,19.02,38.96,27.86,64.0,18.35,70.95,4.687633756,-74.16129282,,,,,,,17.79,,,,14.08
,,30.9,12.97,25.53,19.97,63.0,17.65,76.53,4.687633756,-74.16129282,,,,,,,13.56,,,,15.25
,,30.86,35.1,80.31,55.09,89.0,29.96,74.81,4.687633756,-74.16129282,,,,,,,32.41,,,,14.65
,,24.65,17.15,38.39,26.68,70.0,21.05,73.2,4.687633756,-74.16129282,,,,,,,17.16,,,,15.25
,,23.12,1.65,5.57,2.72,25.0,5.96,68.62,4.687633756,-74.16129282,,,,,,,4.3,,,,14.57
,,29.3,12.64,41.35,21.15,57.0,14.8,71.63,4.687633756,-74.16129282,,,,,,,14.19,,,,13.57
,,37.2,11.08,21.75,16.0,54.0,13.49,70.54,4.687633756,-74.16129282,,,,,,,11.42,,,,15.19
,,22.84,9.53,24.02,15.08,49.0,11.68,71.13,4.687633756,-74.16129282,,,,,,,10.93,,,,15.02
,,28.02,10.17,27.1,16.18,58.0,15.44,77.3,4.687633756,-74.16129282,,,,,,,11.53,,,,12.75
,,22.85,26.36,60.47,40.14,76.0,24.05,72.72,4.687633756,-74.16129282,,,,,,,24.38,,,,14.17
,,28.03,9.27,18.58,13.78,54.0,13.5,79.96,4.687633756,-74.16129282,,,,,,,10.24,,,,13.83
,,29.72,8.43,18.19,12.97,45.0,10.79,81.43,4.687633756,-74.16129282,,,,,,,9.8,,,,13.92
,,24.65,4.96,16.34,8.92,54.0,13.39,78.18,4.687633756,-74.16129282,,,,,,,7.63,,,,13.41
,,26.42,13.85,31.76,20.89,63.0,17.89,82.0,4.687633756,-74.16129282,,,,,,,14.05,,,,13.08
